constructorStandingsId,raceId,constructorId,points,position,positionText,wins
1,18,1,14,1,1,1
2,18,2,8,3,3,0
3,18,3,9,2,2,0
4,18,4,5,4,4,0
5,18,5,2,5,5,0
6,18,6,1,6,6,0
7,19,1,24,1,1,1
8,19,2,19,2,2,0
9,19,3,9,4,4,0
10,19,4,6,5,5,0
11,19,5,2,8,8,0
12,19,6,11,3,3,1
13,19,7,5,6,6,0
14,19,9,2,7,7,0
15,19,11,0,9,9,0
16,19,10,0,10,10,0
17,19,8,0,11,11,0
18,20,1,28,3,3,1
19,20,2,30,1,1,0
20,20,3,10,4,4,0
21,20,4,6,6,6,0
22,20,5,2,8,8,0
23,20,6,29,2,2,2
24,20,7,8,5,5,0
25,20,9,4,7,7,0
26,20,11,0,9,9,0
27,20,10,0,10,10,0
28,20,8,0,11,11,0
29,21,1,34,3,3,1
30,21,2,35,2,2,0
31,21,3,12,4,4,0
32,21,4,6,7,7,0
33,21,5,2,9,9,0
34,21,6,47,1,1,3
35,21,7,9,5,5,0
36,21,9,8,6,6,0
37,21,11,3,8,8,0
38,21,10,0,10,10,0
39,21,8,0,11,11,0
40,22,1,42,3,3,1
41,22,2,44,2,2,0
42,22,3,13,4,4,0
43,22,4,9,7,7,0
44,22,5,2,9,9,0
45,22,6,63,1,1,4
46,22,7,9,6,6,0
47,22,9,10,5,5,0
48,22,11,3,8,8,0
49,22,10,0,10,10,0
50,22,8,0,11,11,0
51,23,1,53,2,2,2
52,23,2,52,3,3,0
53,23,3,15,4,4,0
54,23,4,9,7,7,0
55,23,5,6,8,8,0
56,23,6,69,1,1,4
57,23,7,9,6,6,0
58,23,9,15,5,5,0
59,23,11,6,9,9,0
60,23,10,0,10,10,0
61,23,8,0,11,11,0
62,24,1,53,3,3,2
63,24,2,70,2,2,1
64,24,3,15,6,6,0
65,24,4,9,7,7,0
66,24,5,7,9,9,0
67,24,6,73,1,1,4
68,24,7,17,5,5,0
69,24,9,21,4,4,0
70,24,11,8,8,8,0
71,24,10,0,10,10,0
72,24,8,0,11,11,0
73,25,1,58,3,3,2
74,25,2,74,2,2,1
75,25,3,15,6,6,0
76,25,4,12,7,7,0
77,25,5,7,9,9,0
78,25,6,91,1,1,5
79,25,7,23,5,5,0
80,25,9,24,4,4,0
81,25,11,8,8,8,0
82,25,10,0,10,10,0
83,25,8,0,11,11,0
84,26,1,72,3,3,3
85,26,2,82,2,2,1
86,26,3,16,6,6,0
87,26,4,15,7,7,0
88,26,5,7,9,9,0
89,26,6,96,1,1,5
90,26,7,25,4,4,0
91,26,9,24,5,5,0
92,26,11,14,8,8,0
93,26,10,0,10,10,0
94,26,8,0,11,11,0
95,27,1,86,3,3,4
96,27,2,89,2,2,1
97,27,3,16,7,7,0
98,27,4,23,6,6,0
99,27,5,8,9,9,0
100,27,6,105,1,1,5
101,27,7,25,4,4,0
102,27,9,24,5,5,0
103,27,11,14,8,8,0
104,27,10,0,10,10,0
105,27,8,0,11,11,0
106,28,1,100,2,2,5
107,28,2,90,3,3,1
108,28,3,16,7,7,0
109,28,4,31,5,5,0
110,28,5,8,9,9,0
111,28,6,111,1,1,5
112,28,7,35,4,4,0
113,28,9,24,6,6,0
114,28,11,14,8,8,0
115,28,10,0,10,10,0
116,28,8,0,11,11,0
117,29,1,113,2,2,5
118,29,2,96,3,3,1
119,29,3,17,7,7,0
120,29,4,31,5,5,0
121,29,5,11,9,9,0
122,29,6,121,1,1,6
123,29,7,41,4,4,0
124,29,9,24,6,6,0
125,29,11,14,8,8,0
126,29,10,0,10,10,0
127,29,8,0,11,11,0
128,30,1,119,2,2,5
129,30,2,107,3,3,1
130,30,3,17,7,7,0
131,30,4,36,5,5,0
132,30,5,17,8,8,0
133,30,6,131,1,1,7
134,30,7,41,4,4,0
135,30,9,25,6,6,0
136,30,11,14,9,9,0
137,30,10,0,10,10,0
138,30,8,0,11,11,0
139,31,1,129,2,2,5
140,31,2,117,3,3,1
141,31,3,17,8,8,0
142,31,4,41,5,5,0
143,31,5,27,6,6,1
144,31,6,134,1,1,7
145,31,7,41,4,4,0
146,31,9,26,7,7,0
147,31,11,14,9,9,0
148,31,10,0,10,10,0
149,31,8,0,11,11,0
150,32,1,135,1,1,5
151,32,2,120,3,3,1
152,32,3,26,8,8,0
153,32,4,51,4,4,1
154,32,5,31,6,6,1
155,32,6,134,2,2,7
156,32,7,46,5,5,0
157,32,9,28,7,7,0
158,32,11,14,9,9,0
159,32,10,0,10,10,0
160,32,8,0,11,11,0
161,33,1,135,2,2,5
162,33,2,128,3,3,1
163,33,3,26,8,8,0
164,33,4,66,4,4,2
165,33,5,34,6,6,1
166,33,6,142,1,1,7
167,33,7,50,5,5,0
168,33,9,29,7,7,0
169,33,11,14,9,9,0
170,33,10,0,10,10,0
171,33,8,0,11,11,0
1643,34,8,0,11,11,0
1642,34,10,0,10,10,0
1641,34,11,14,9,9,0
1640,34,9,29,7,7,0
1639,34,7,52,5,5,0
1638,34,6,156,1,1,7
1637,34,5,34,6,6,1
1636,34,4,72,4,4,2
1635,34,3,26,8,8,0
1634,34,2,135,3,3,1
1633,34,1,145,2,2,6
183,35,1,151,2,2,6
184,35,2,135,3,3,1
185,35,3,26,8,8,0
186,35,4,80,4,4,2
187,35,5,39,6,6,1
188,35,6,172,1,1,8
189,35,7,56,5,5,0
190,35,9,29,7,7,0
191,35,11,14,9,9,0
192,35,10,0,10,10,0
193,35,8,0,11,11,0
25742,36,5,0,9,9,0
25741,36,9,0,8,8,0
25740,36,8,0,7,7,0
25739,36,11,0,6,6,0
25738,36,7,1,5,5,0
25737,36,3,2,4,4,0
25736,36,4,4,3,3,0
25735,36,2,5,2,2,0
25753,37,5,0,9,9,0
25752,37,9,0,6,6,0
25751,37,8,0,8,8,0
25750,37,11,0,7,7,0
25749,37,7,3,4,4,0
25748,37,3,2,5,5,0
25747,37,4,8,3,3,0
25746,37,2,10,2,2,0
25764,38,5,0,9,9,0
25763,38,9,0,6,6,0
25762,38,8,0,8,8,0
25761,38,11,0,7,7,0
25760,38,7,5,4,4,0
25759,38,3,2,5,5,0
25758,38,4,9,3,3,0
25757,38,2,18,2,2,0
25756,38,1,44,11,E,1
25755,38,6,39,1,1,2
25775,39,5,0,10,10,0
25774,39,9,4,6,6,0
25773,39,8,1,7,7,0
25772,39,11,0,8,8,0
25771,39,7,5,5,5,0
25770,39,3,5,4,4,0
25769,39,4,11,3,3,0
25768,39,2,23,2,2,0
25767,39,1,58,11,E,1
25786,40,5,0,8,8,0
25785,40,9,4,6,6,0
25784,40,8,1,7,7,0
25783,40,11,0,9,9,0
25782,40,7,5,5,5,0
25781,40,3,7,4,4,0
25780,40,4,16,3,3,0
25779,40,2,30,2,2,0
25778,40,1,76,11,E,2
25797,41,5,0,8,8,0
25796,41,9,4,6,6,0
25795,41,8,4,7,7,0
25794,41,11,0,9,9,0
25793,41,7,6,5,5,0
25792,41,3,13,4,4,0
25791,41,4,21,3,3,0
25790,41,2,38,2,2,0
25789,41,1,88,11,E,3
25808,42,5,0,8,8,0
25807,42,9,6,6,6,0
25806,42,8,4,7,7,0
25805,42,11,0,9,9,0
25804,42,7,9,5,5,0
25803,42,3,13,4,4,0
25802,42,4,25,3,3,0
25801,42,2,39,2,2,0
25800,42,1,106,11,E,4
25819,43,5,0,9,9,0
25818,43,9,6,6,6,0
25817,43,8,4,7,7,0
25816,43,11,1,8,8,0
25815,43,7,9,5,5,0
25814,43,3,13,4,4,0
25813,43,4,28,3,3,0
25812,43,2,48,2,2,0
25811,43,1,114,11,E,4
25830,44,5,0,9,9,0
25829,44,9,6,6,6,0
25828,44,8,4,7,7,0
25827,44,11,1,8,8,0
25826,44,7,9,5,5,0
25825,44,3,13,4,4,0
25824,44,4,31,3,3,0
25823,44,2,56,2,2,0
25822,44,1,128,11,E,5
25841,45,5,0,9,9,0
25840,45,9,16,5,5,0
25839,45,8,4,7,7,0
25838,45,11,1,8,8,0
25837,45,7,9,6,6,0
25836,45,3,18,4,4,0
25835,45,4,32,3,3,0
25834,45,2,61,2,2,0
25833,45,1,138,11,E,5
25852,46,5,0,9,9,0
25851,46,9,16,5,5,0
25850,46,8,4,7,7,0
25849,46,11,1,8,8,0
25848,46,7,12,6,6,0
25847,46,3,20,4,4,0
25846,46,4,33,3,3,0
25845,46,2,71,2,2,0
25844,46,1,138,11,E,6
25863,47,5,0,9,9,0
25862,47,9,16,5,5,0
25861,47,8,4,7,7,0
25860,47,11,1,8,8,0
25859,47,7,12,6,6,0
25858,47,3,22,4,4,0
25857,47,4,36,3,3,0
25856,47,2,77,2,2,0
25855,47,1,148,11,E,6
25874,48,5,0,9,9,0
25873,48,9,16,5,5,0
25872,48,8,4,7,7,0
25871,48,11,2,8,8,0
25870,48,7,12,6,6,0
25869,48,3,25,4,4,0
25868,48,4,38,3,3,0
25867,48,2,86,2,2,0
25866,48,1,166,11,E,7
25885,49,5,0,9,9,0
25884,49,9,18,5,5,0
25883,49,8,4,7,7,0
25882,49,11,2,8,8,0
25881,49,7,12,6,6,0
25880,49,3,28,4,4,0
25879,49,4,39,3,3,0
25878,49,2,90,2,2,0
25877,49,1,192,11,E,7
25896,50,5,0,10,10,0
25895,50,9,23,5,5,0
25894,50,8,4,7,7,0
25893,50,11,2,8,8,0
25892,50,7,12,6,6,0
25891,50,3,28,4,4,0
25890,50,4,51,3,3,0
25889,50,2,92,2,2,0
25888,50,1,202,11,E,8
25907,51,5,8,7,7,0
25906,51,9,24,5,5,0
25905,51,8,4,9,9,0
25904,51,11,6,8,8,0
25903,51,7,12,6,6,0
25902,51,3,28,4,4,0
25901,51,4,51,3,3,0
25900,51,2,94,2,2,0
25899,51,1,210,11,E,8
25918,52,5,8,7,7,0
25917,52,9,24,5,5,0
25916,52,8,4,9,9,0
25915,52,11,6,8,8,0
25914,52,7,13,6,6,0
25913,52,3,33,4,4,0
25912,52,4,51,3,3,0
25911,52,2,101,2,2,0
25910,52,1,218,11,E,8
6327,53,8,0,11,11,0
6326,53,13,0,10,10,0
6325,53,7,0,9,9,0
6324,53,2,0,8,8,0
6323,53,5,0,7,7,0
6322,53,9,1,6,6,0
6321,53,3,5,5,5,0
6320,53,11,5,4,4,0
6319,53,1,10,2,2,0
6318,53,6,8,3,3,0
6317,53,4,10,1,1,1
6338,54,8,0,11,11,0
6337,54,13,0,10,10,0
6336,54,7,1,7,7,0
6335,54,2,2,6,6,0
6334,54,5,0,9,9,0
6333,54,9,1,8,8,0
6332,54,3,5,5,5,0
6331,54,11,11,4,4,0
6330,54,1,15,3,3,0
6329,54,6,15,2,2,0
6328,54,4,28,1,1,2
6349,55,8,0,11,11,0
6348,55,13,0,10,10,0
6347,55,7,7,6,6,0
6346,55,2,10,5,5,0
6345,55,5,0,9,9,0
6344,55,9,2,8,8,0
6343,55,3,5,7,7,0
6342,55,11,13,4,4,0
6341,55,1,23,2,2,0
6340,55,6,15,3,3,0
6339,55,4,42,1,1,3
6360,56,8,0,11,11,0
6359,56,13,0,10,10,0
6358,56,7,7,7,7,0
6357,56,2,10,5,5,0
6356,56,5,0,9,9,0
6355,56,9,2,8,8,0
6354,56,3,8,6,6,0
6353,56,11,15,4,4,0
6352,56,1,33,2,2,0
6351,56,6,30,3,3,1
6350,56,4,51,1,1,3
6371,57,8,0,11,11,0
6370,57,13,0,10,10,0
6369,57,7,7,7,7,0
6368,57,2,11,5,5,0
6367,57,5,0,9,9,0
6366,57,9,2,8,8,0
6365,57,3,10,6,6,0
6364,57,11,19,4,4,0
6363,57,1,38,3,3,0
6362,57,6,46,2,2,2
6361,57,4,62,1,1,3
6382,58,8,0,11,11,0
6381,58,13,0,10,10,0
6380,58,7,7,7,7,0
6379,58,2,12,5,5,0
6378,58,5,0,9,9,0
6377,58,9,2,8,8,0
6376,58,3,10,6,6,0
6375,58,11,24,4,4,0
6374,58,1,42,3,3,0
6373,58,6,59,2,2,2
6372,58,4,78,1,1,4
6393,59,8,0,11,11,0
6392,59,13,0,10,10,0
6391,59,7,8,7,7,0
6390,59,2,14,5,5,0
6389,59,5,0,9,9,0
6388,59,9,8,8,8,0
6387,59,3,10,6,6,0
6386,59,11,29,4,4,0
6385,59,1,50,3,3,0
6384,59,6,63,2,2,2
6383,59,4,91,1,1,5
6404,60,8,0,11,11,0
6403,60,13,0,10,10,0
6402,60,7,8,7,7,0
6401,60,2,17,5,5,0
6400,60,5,0,9,9,0
6399,60,9,8,8,8,0
6398,60,3,10,6,6,0
6397,60,11,29,4,4,0
6396,60,1,59,3,3,0
6395,60,6,75,2,2,2
6394,60,4,106,1,1,6
6415,61,8,0,11,11,0
6414,61,13,0,10,10,0
6413,61,7,11,6,6,0
6412,61,2,19,5,5,0
6411,61,5,0,9,9,0
6410,61,9,9,8,8,0
6409,61,3,10,7,7,0
6408,61,11,29,4,4,0
6407,61,1,65,3,3,0
6406,61,6,87,2,2,2
6405,61,4,121,1,1,7
6426,62,8,0,11,11,0
6425,62,13,0,10,10,0
6424,62,7,16,6,6,0
6423,62,2,19,5,5,0
6422,62,5,1,9,9,0
6421,62,9,11,7,7,0
6420,62,3,10,8,8,0
6419,62,11,32,4,4,0
6418,62,1,65,3,3,0
6417,62,6,105,2,2,3
6416,62,4,131,1,1,7
6437,63,8,0,11,11,0
6436,63,13,0,10,10,0
6435,63,7,21,5,5,0
6434,63,2,20,6,6,0
6433,63,5,1,9,9,0
6432,63,9,11,7,7,0
6431,63,3,10,8,8,0
6430,63,11,32,4,4,0
6429,63,1,71,3,3,0
6428,63,6,121,2,2,4
6427,63,4,142,1,1,7
6448,64,8,0,11,11,0
6447,64,13,0,10,10,0
6446,64,7,23,5,5,0
6445,64,2,20,6,6,0
6444,64,5,1,9,9,0
6443,64,9,12,7,7,0
6442,64,3,10,8,8,0
6441,64,11,37,4,4,0
6440,64,1,77,3,3,0
6439,64,6,139,2,2,5
6438,64,4,149,1,1,7
6459,65,8,0,11,11,0
6458,65,13,0,10,10,0
6457,65,7,26,5,5,0
6456,65,2,26,6,6,0
6455,65,5,1,9,9,0
6454,65,9,16,7,7,0
6453,65,3,10,8,8,0
6452,65,11,52,4,4,1
6451,65,1,85,3,3,0
6450,65,6,142,2,2,5
6449,65,4,149,1,1,7
6470,66,8,0,11,11,0
6469,66,13,0,10,10,0
6468,66,7,28,5,5,0
6467,66,2,26,6,6,0
6466,66,5,1,9,9,0
6465,66,9,16,7,7,0
6464,66,3,10,8,8,0
6463,66,11,58,4,4,1
6462,66,1,89,3,3,0
6461,66,6,158,2,2,6
6460,66,4,160,1,1,7
6482,67,14,0,12,12,0
6481,67,8,0,11,11,0
6480,67,13,0,10,10,0
6479,67,7,30,6,6,0
6478,67,2,33,5,5,0
6477,67,5,1,9,9,0
6476,67,9,16,7,7,0
6475,67,3,10,8,8,0
6474,67,11,65,4,4,1
6473,67,1,97,3,3,0
6472,67,6,168,1,1,7
6471,67,4,165,2,2,7
6494,68,14,0,12,12,0
6493,68,8,0,11,11,0
6492,68,13,0,10,10,0
